date,ticker,sector,entry_time,exit_time,entry,exit,stop,target,shares,cost,gross_pnl,commission,net_pnl,exit_reason,rsi_entry,vol_ratio,atr
2026-03-31,SOFI,Fintech,2026-03-31 16:35:00+00:00,2026-03-31 16:40:00+00:00,15.5799,15.8125,15.4636,15.8125,3,46.74,0.6977,0.03,0.6677,TARGET,53.6,3.41,0.0775
2026-03-31,SOFI,Fintech,2026-03-31 16:45:00+00:00,2026-03-31 19:55:00+00:00,15.745,15.895,15.5648,16.1054,3,47.23,0.45,0.03,0.42,EOD,61.9,1.82,0.1201
2026-04-01,SOFI,Fintech,2026-04-01 16:15:00+00:00,2026-04-01 17:15:00+00:00,15.945,15.858,15.858,16.1189,3,47.83,-0.2609,0.03,-0.2909,STOP,60.5,1.4,0.058
2026-04-02,SOFI,Fintech,2026-04-02 16:30:00+00:00,2026-04-02 19:55:00+00:00,15.685,15.855,15.5672,15.9206,3,47.06,0.51,0.03,0.48,EOD,57.0,1.36,0.0785
2026-04-06,SOFI,Fintech,2026-04-06 19:15:00+00:00,2026-04-06 19:55:00+00:00,16.23,16.25,16.1683,16.3534,3,48.69,0.06,0.03,0.03,EOD,59.6,1.26,0.0411
2026-04-07,SOFI,Fintech,2026-04-07 16:00:00+00:00,2026-04-07 18:25:00+00:00,16.225,16.0932,16.0932,16.4885,3,48.68,-0.3953,0.03,-0.4253,STOP,60.6,1.68,0.0878
2026-04-07,SOFI,Fintech,2026-04-07 19:15:00+00:00,2026-04-07 19:30:00+00:00,16.165,16.0758,16.0758,16.3435,3,48.5,-0.2677,0.03,-0.2977,STOP,57.8,2.19,0.0595
2026-04-07,SOFI,Fintech,2026-04-07 19:45:00+00:00,2026-04-07 19:55:00+00:00,16.125,16.12,16.0123,16.3503,3,48.38,-0.015,0.03,-0.045,EOD,52.9,2.26,0.0751
2026-04-09,SOFI,Fintech,2026-04-09 15:20:00+00:00,2026-04-09 16:00:00+00:00,16.145,16.3589,16.038,16.3589,3,48.44,0.6417,0.03,0.6117,TARGET,49.5,1.22,0.0713
2026-04-09,SOFI,Fintech,2026-04-09 19:45:00+00:00,2026-04-09 19:55:00+00:00,16.2499,16.25,16.1951,16.3596,3,48.75,0.0003,0.03,-0.0297,EOD,52.8,1.21,0.0366
2026-04-10,SOFI,Fintech,2026-04-10 19:10:00+00:00,2026-04-10 19:20:00+00:00,16.279,16.2264,16.2264,16.3842,3,48.84,-0.1578,0.03,-0.1878,STOP,65.5,2.38,0.0351
2026-04-13,SOFI,Fintech,2026-04-13 16:25:00+00:00,2026-04-13 18:00:00+00:00,16.675,16.8337,16.5957,16.8337,2,33.35,0.3174,0.02,0.2974,TARGET,65.1,1.25,0.0529
2026-04-13,SOFI,Fintech,2026-04-13 19:15:00+00:00,2026-04-13 19:50:00+00:00,16.91,17.0218,16.8541,17.0218,2,33.82,0.2237,0.02,0.2037,TARGET,74.6,1.42,0.0373
2026-04-14,SOFI,Fintech,2026-04-14 17:15:00+00:00,2026-04-14 17:55:00+00:00,17.905,17.8352,17.8352,18.0447,2,35.81,-0.1397,0.02,-0.1597,STOP,68.5,1.3,0.0466
2026-04-14,SOFI,Fintech,2026-04-14 19:00:00+00:00,2026-04-14 19:55:00+00:00,17.84,17.92,17.7676,17.9848,2,35.68,0.16,0.02,0.14,EOD,60.3,1.54,0.0483
2026-04-15,SOFI,Fintech,2026-04-15 16:00:00+00:00,2026-04-15 16:45:00+00:00,18.4802,18.3707,18.3707,18.6992,2,36.96,-0.219,0.02,-0.239,STOP,62.0,1.44,0.073
2026-04-15,SOFI,Fintech,2026-04-15 17:40:00+00:00,2026-04-15 18:10:00+00:00,18.5125,18.6888,18.4244,18.6888,2,37.03,0.3525,0.02,0.3325,TARGET,60.5,1.36,0.0588
2026-04-15,SOFI,Fintech,2026-04-15 18:20:00+00:00,2026-04-15 19:50:00+00:00,18.615,18.8196,18.5127,18.8196,2,37.23,0.4092,0.02,0.3892,TARGET,59.5,1.3,0.0682
2026-04-16,SOFI,Fintech,2026-04-16 15:35:00+00:00,2026-04-16 16:30:00+00:00,19.225,19.067,19.067,19.5411,2,38.45,-0.3161,0.02,-0.3361,STOP,63.2,1.84,0.1054
2026-04-16,SOFI,Fintech,2026-04-16 19:20:00+00:00,2026-04-16 19:50:00+00:00,19.135,19.0623,19.0623,19.2803,2,38.27,-0.1453,0.02,-0.1653,STOP,55.8,1.72,0.0484
2026-04-20,SOFI,Fintech,2026-04-20 15:25:00+00:00,2026-04-20 19:55:00+00:00,19.4,19.5,19.2486,19.7027,2,38.8,0.2,0.02,0.18,EOD,52.3,1.44,0.1009
2026-04-24,SOFI,Fintech,2026-04-24 15:20:00+00:00,2026-04-24 19:30:00+00:00,18.32,18.5564,18.2018,18.5564,2,36.64,0.4727,0.02,0.4527,TARGET,53.0,1.22,0.0788
2026-04-24,SOFI,Fintech,2026-04-24 19:40:00+00:00,2026-04-24 19:55:00+00:00,18.54,18.4641,18.4641,18.6919,2,37.08,-0.1519,0.02,-0.1719,STOP,66.3,2.15,0.0506
2026-04-27,SOFI,Fintech,2026-04-27 17:30:00+00:00,2026-04-27 17:45:00+00:00,18.84,18.7713,18.7713,18.9774,2,37.68,-0.1374,0.02,-0.1574,STOP,64.3,1.49,0.0458
2026-04-27,SOFI,Fintech,2026-04-27 18:40:00+00:00,2026-04-27 19:50:00+00:00,18.815,18.7541,18.7541,18.9368,2,37.63,-0.1218,0.02,-0.1418,STOP,59.9,1.48,0.0406
2026-04-28,SOFI,Fintech,2026-04-28 15:50:00+00:00,2026-04-28 18:45:00+00:00,18.595,18.715,18.4654,18.8542,2,37.19,0.24,0.02,0.22,EOD,54.3,1.35,0.0864
2026-03-31,RIVN,EV,2026-03-31 16:40:00+00:00,2026-03-31 16:45:00+00:00,15.025,14.8914,14.8914,15.2923,3,45.07,-0.4009,0.03,-0.4309,STOP,72.4,3.83,0.0891
2026-03-31,RIVN,EV,2026-03-31 17:00:00+00:00,2026-03-31 19:55:00+00:00,15.0611,15.06,14.9096,15.3641,3,45.18,-0.0033,0.03,-0.0333,EOD,70.1,2.05,0.101
2026-04-02,RIVN,EV,2026-04-02 17:10:00+00:00,2026-04-02 17:50:00+00:00,15.315,15.2299,15.2299,15.4852,3,45.94,-0.2552,0.03,-0.2852,STOP,61.3,1.32,0.0567
2026-04-02,RIVN,EV,2026-04-02 18:40:00+00:00,2026-04-02 19:55:00+00:00,15.356,15.4,15.2876,15.4927,3,46.07,0.132,0.03,0.102,EOD,60.4,1.45,0.0456
2026-04-06,RIVN,EV,2026-04-06 16:35:00+00:00,2026-04-06 17:00:00+00:00,15.345,15.2656,15.2656,15.5038,3,46.04,-0.2383,0.03,-0.2683,STOP,66.7,1.4,0.0529
2026-04-06,RIVN,EV,2026-04-06 19:20:00+00:00,2026-04-06 19:40:00+00:00,15.345,15.2957,15.2957,15.4436,3,46.04,-0.1479,0.03,-0.1779,STOP,55.7,1.35,0.0329
2026-04-07,RIVN,EV,2026-04-07 16:45:00+00:00,2026-04-07 18:45:00+00:00,14.69,14.6094,14.6094,14.8512,3,44.07,-0.2419,0.03,-0.2719,STOP,56.3,1.65,0.0537
2026-04-07,RIVN,EV,2026-04-07 19:45:00+00:00,2026-04-07 19:55:00+00:00,14.685,14.69,14.6023,14.8505,3,44.06,0.015,0.03,-0.015,EOD,57.4,1.9,0.0552
2026-04-08,RIVN,EV,2026-04-08 15:55:00+00:00,2026-04-08 16:45:00+00:00,15.165,15.3475,15.0738,15.3475,3,45.49,0.5475,0.03,0.5175,TARGET,66.0,1.23,0.0608
2026-04-08,RIVN,EV,2026-04-08 16:50:00+00:00,2026-04-08 17:15:00+00:00,15.3999,15.3128,15.3128,15.5742,3,46.2,-0.2614,0.03,-0.2914,STOP,77.7,1.2,0.0581
2026-04-09,RIVN,EV,2026-04-09 15:30:00+00:00,2026-04-09 16:00:00+00:00,15.125,15.3292,15.0229,15.3292,3,45.38,0.6125,0.03,0.5825,TARGET,55.2,1.34,0.0681
2026-04-09,RIVN,EV,2026-04-09 17:05:00+00:00,2026-04-09 19:55:00+00:00,15.325,15.2544,15.2544,15.4663,3,45.97,-0.2119,0.03,-0.2419,STOP,62.0,1.75,0.0471
2026-04-10,RIVN,EV,2026-04-10 15:25:00+00:00,2026-04-10 15:40:00+00:00,15.665,15.5531,15.5531,15.8888,3,46.99,-0.3358,0.03,-0.3658,STOP,56.3,1.55,0.0746
2026-04-13,RIVN,EV,2026-04-13 16:05:00+00:00,2026-04-13 17:00:00+00:00,15.465,15.6686,15.3632,15.6686,3,46.4,0.6107,0.03,0.5807,TARGET,53.9,1.37,0.0679
2026-04-13,RIVN,EV,2026-04-13 17:25:00+00:00,2026-04-13 19:55:00+00:00,15.835,15.88,15.7234,16.0581,3,47.51,0.135,0.03,0.105,EOD,74.1,1.71,0.0744
2026-04-14,RIVN,EV,2026-04-14 16:00:00+00:00,2026-04-14 16:05:00+00:00,16.205,16.0811,16.0811,16.4529,3,48.61,-0.3718,0.03,-0.4018,STOP,65.6,3.27,0.0826
2026-04-15,RIVN,EV,2026-04-15 18:30:00+00:00,2026-04-15 19:55:00+00:00,16.395,16.41,16.32,16.545,3,49.19,0.045,0.03,0.015,EOD,70.8,1.41,0.05
2026-04-16,RIVN,EV,2026-04-16 15:25:00+00:00,2026-04-16 16:20:00+00:00,16.715,17.0078,16.5686,17.0078,2,33.43,0.5856,0.02,0.5656,TARGET,60.9,1.5,0.0976
2026-04-16,RIVN,EV,2026-04-16 19:35:00+00:00,2026-04-16 19:55:00+00:00,16.925,16.8505,16.8505,17.0741,2,33.85,-0.1491,0.02,-0.1691,STOP,64.4,2.28,0.0497
2026-04-20,RIVN,EV,2026-04-20 15:35:00+00:00,2026-04-20 15:55:00+00:00,17.065,16.9385,16.9385,17.3181,2,34.13,-0.2531,0.02,-0.2731,STOP,57.3,1.47,0.0844
2026-04-20,RIVN,EV,2026-04-20 18:25:00+00:00,2026-04-20 18:35:00+00:00,16.9501,16.8856,16.8856,17.0791,2,33.9,-0.129,0.02,-0.149,STOP,55.6,2.15,0.043
2026-04-20,RIVN,EV,2026-04-20 19:30:00+00:00,2026-04-20 19:55:00+00:00,16.975,16.93,16.9061,17.1127,2,33.95,-0.09,0.02,-0.11,EOD,58.1,1.6,0.0459
2026-04-21,RIVN,EV,2026-04-21 16:45:00+00:00,2026-04-21 16:55:00+00:00,17.305,17.1926,17.1926,17.5297,2,34.61,-0.2247,0.02,-0.2447,STOP,57.9,1.46,0.0749
2026-04-21,RIVN,EV,2026-04-21 19:00:00+00:00,2026-04-21 19:40:00+00:00,17.22,17.1317,17.1317,17.3966,2,34.44,-0.1766,0.02,-0.1966,STOP,63.3,1.54,0.0589
2026-04-22,RIVN,EV,2026-04-22 15:20:00+00:00,2026-04-22 15:45:00+00:00,17.4837,17.7107,17.3702,17.7107,2,34.97,0.4541,0.02,0.4341,TARGET,58.6,1.25,0.0757
2026-04-22,RIVN,EV,2026-04-22 16:05:00+00:00,2026-04-22 16:50:00+00:00,17.9502,17.7866,17.7866,18.2774,2,35.9,-0.3272,0.02,-0.3472,STOP,75.0,2.09,0.1091
2026-04-22,RIVN,EV,2026-04-22 18:55:00+00:00,2026-04-22 19:55:00+00:00,17.8066,17.7189,17.7189,17.9819,2,35.61,-0.1753,0.02,-0.1953,STOP,57.1,1.39,0.0584
2026-04-24,RIVN,EV,2026-04-24 15:45:00+00:00,2026-04-24 16:05:00+00:00,16.695,16.5905,16.5905,16.9041,2,33.39,-0.2091,0.02,-0.2291,STOP,55.2,1.73,0.0697
2026-04-24,RIVN,EV,2026-04-24 19:50:00+00:00,2026-04-24 19:55:00+00:00,16.545,16.525,16.4558,16.7235,3,49.64,-0.06,0.03,-0.09,EOD,62.3,1.83,0.0595
2026-04-27,RIVN,EV,2026-04-27 15:35:00+00:00,2026-04-27 16:40:00+00:00,16.7701,16.6353,16.6353,17.0397,2,33.54,-0.2696,0.02,-0.2896,STOP,60.5,1.41,0.0899
2026-04-27,RIVN,EV,2026-04-27 18:05:00+00:00,2026-04-27 19:15:00+00:00,16.755,16.8772,16.6939,16.8772,2,33.51,0.2444,0.02,0.2244,TARGET,59.5,2.77,0.0407
2026-04-27,RIVN,EV,2026-04-27 19:45:00+00:00,2026-04-27 19:55:00+00:00,16.845,16.7642,16.7642,17.0066,2,33.69,-0.1616,0.02,-0.1816,STOP,58.5,1.2,0.0539
2026-03-31,NIO,EV China,2026-03-31 16:35:00+00:00,2026-03-31 17:15:00+00:00,6.015,6.1186,5.9632,6.1186,8,48.12,0.8291,0.08,0.7491,TARGET,73.7,1.25,0.0345
2026-03-31,NIO,EV China,2026-03-31 19:35:00+00:00,2026-03-31 19:55:00+00:00,6.03,6.02,5.9957,6.0987,8,48.24,-0.08,0.08,-0.16,EOD,54.8,1.22,0.0229
2026-04-01,NIO,EV China,2026-04-01 17:50:00+00:00,2026-04-01 18:20:00+00:00,6.1899,6.1584,6.1584,6.253,8,49.52,-0.2523,0.08,-0.3323,STOP,63.7,1.61,0.021
2026-04-01,NIO,EV China,2026-04-01 19:00:00+00:00,2026-04-01 19:55:00+00:00,6.185,6.195,6.1513,6.2523,8,49.48,0.08,0.08,0.0,EOD,57.0,1.29,0.0224
2026-04-02,NIO,EV China,2026-04-02 17:15:00+00:00,2026-04-02 18:05:00+00:00,6.16,6.2128,6.1336,6.2128,8,49.28,0.4221,0.08,0.3421,TARGET,52.5,1.37,0.0176
2026-04-02,NIO,EV China,2026-04-02 18:10:00+00:00,2026-04-02 19:55:00+00:00,6.225,6.2857,6.1947,6.2857,8,49.8,0.4854,0.08,0.4054,TARGET,69.2,1.9,0.0202
2026-04-07,NIO,EV China,2026-04-07 16:20:00+00:00,2026-04-07 17:35:00+00:00,6.08,6.1568,6.0416,6.1568,8,48.64,0.6142,0.08,0.5342,TARGET,54.7,1.22,0.0256
2026-04-07,NIO,EV China,2026-04-07 19:15:00+00:00,2026-04-07 19:35:00+00:00,6.1383,6.1031,6.1031,6.2086,8,49.11,-0.2813,0.08,-0.3613,STOP,64.0,2.77,0.0234
2026-04-07,NIO,EV China,2026-04-07 19:40:00+00:00,2026-04-07 19:55:00+00:00,6.1484,6.135,6.1102,6.2248,8,49.19,-0.1072,0.08,-0.1872,EOD,63.8,2.95,0.0255
2026-04-08,NIO,EV China,2026-04-08 15:45:00+00:00,2026-04-08 16:55:00+00:00,6.46,6.5382,6.4209,6.5382,7,45.22,0.5476,0.07,0.4776,TARGET,68.4,4.68,0.0261
2026-04-10,NIO,EV China,2026-04-10 15:20:00+00:00,2026-04-10 15:55:00+00:00,6.585,6.5079,6.5079,6.7392,7,46.1,-0.5395,0.07,-0.6095,STOP,72.1,1.8,0.0514
2026-04-10,NIO,EV China,2026-04-10 19:45:00+00:00,2026-04-10 19:55:00+00:00,6.47,6.5,6.434,6.542,7,45.29,0.21,0.07,0.14,EOD,59.5,3.62,0.024
2026-04-13,NIO,EV China,2026-04-13 17:10:00+00:00,2026-04-13 17:25:00+00:00,6.525,6.5775,6.4987,6.5775,7,45.68,0.3678,0.07,0.2978,TARGET,65.3,1.35,0.0175
2026-04-13,NIO,EV China,2026-04-13 17:30:00+00:00,2026-04-13 17:50:00+00:00,6.565,6.5349,6.5349,6.6252,7,45.96,-0.2106,0.07,-0.2806,STOP,71.4,1.31,0.0201
2026-04-13,NIO,EV China,2026-04-13 19:30:00+00:00,2026-04-13 19:35:00+00:00,6.515,6.4947,6.4947,6.5556,7,45.6,-0.1421,0.07,-0.2121,STOP,49.4,1.56,0.0135
2026-04-14,NIO,EV China,2026-04-14 15:30:00+00:00,2026-04-14 15:45:00+00:00,6.62,6.574,6.574,6.712,7,46.34,-0.3221,0.07,-0.3921,STOP,63.2,2.55,0.0307
2026-04-14,NIO,EV China,2026-04-14 19:35:00+00:00,2026-04-14 19:45:00+00:00,6.565,6.5429,6.5429,6.6092,7,45.96,-0.1547,0.07,-0.2247,STOP,63.0,2.26,0.0147
2026-04-15,NIO,EV China,2026-04-15 18:40:00+00:00,2026-04-15 19:05:00+00:00,6.475,6.4511,6.4511,6.5228,7,45.32,-0.1672,0.07,-0.2372,STOP,63.4,1.78,0.0159
2026-04-16,NIO,EV China,2026-04-16 15:35:00+00:00,2026-04-16 16:00:00+00:00,6.61,6.6928,6.5686,6.6928,7,46.27,0.5798,0.07,0.5098,TARGET,67.4,1.34,0.0276
2026-04-16,NIO,EV China,2026-04-16 16:20:00+00:00,2026-04-16 19:00:00+00:00,6.73,6.8321,6.679,6.8321,7,47.11,0.7145,0.07,0.6445,TARGET,72.1,1.85,0.034
2026-04-16,NIO,EV China,2026-04-16 19:15:00+00:00,2026-04-16 19:55:00+00:00,6.825,6.87,6.7883,6.8984,7,47.77,0.315,0.07,0.245,EOD,73.5,1.33,0.0245
2026-04-20,NIO,EV China,2026-04-20 18:50:00+00:00,2026-04-20 19:30:00+00:00,6.6999,6.6796,6.6796,6.7405,7,46.9,-0.1422,0.07,-0.2122,STOP,63.2,1.94,0.0135
2026-04-20,NIO,EV China,2026-04-20 19:50:00+00:00,2026-04-20 19:55:00+00:00,6.695,6.6711,6.6711,6.7428,7,46.87,-0.1671,0.07,-0.2371,STOP,57.5,3.9,0.0159
2026-04-22,NIO,EV China,2026-04-22 19:00:00+00:00,2026-04-22 19:20:00+00:00,6.5501,6.5237,6.5237,6.6028,7,45.85,-0.1845,0.07,-0.2545,STOP,59.2,2.64,0.0176
2026-04-24,NIO,EV China,2026-04-24 17:00:00+00:00,2026-04-24 19:30:00+00:00,6.2299,6.2031,6.2031,6.2835,8,49.84,-0.2145,0.08,-0.2945,STOP,55.2,1.25,0.0179
2026-04-24,NIO,EV China,2026-04-24 19:50:00+00:00,2026-04-24 19:55:00+00:00,6.22,6.215,6.1974,6.2653,8,49.76,-0.04,0.08,-0.12,EOD,46.6,3.7,0.0151
2026-04-28,NIO,EV China,2026-04-28 17:25:00+00:00,2026-04-28 18:00:00+00:00,6.315,6.376,6.2845,6.376,7,44.21,0.4272,0.07,0.3572,TARGET,61.9,4.5,0.0203
2026-04-28,NIO,EV China,2026-04-28 18:05:00+00:00,2026-04-28 18:35:00+00:00,6.38,6.3443,6.3443,6.4514,7,44.66,-0.2497,0.07,-0.3197,STOP,74.0,2.12,0.0238
2026-03-31,PLUG,Hydrogen,2026-03-31 16:30:00+00:00,2026-03-31 16:40:00+00:00,2.2099,2.2687,2.1805,2.2687,22,48.62,1.2933,0.22,1.0733,TARGET,57.8,3.34,0.0196
2026-03-31,PLUG,Hydrogen,2026-03-31 16:55:00+00:00,2026-03-31 19:55:00+00:00,2.225,2.26,2.1926,2.2898,22,48.95,0.77,0.22,0.55,EOD,58.1,1.52,0.0216
2026-04-01,PLUG,Hydrogen,2026-04-01 19:25:00+00:00,2026-04-01 19:40:00+00:00,2.265,2.2411,2.2411,2.3128,22,49.83,-0.5261,0.22,-0.7461,STOP,61.1,1.54,0.0159
2026-04-02,PLUG,Hydrogen,2026-04-02 16:40:00+00:00,2026-04-02 19:05:00+00:00,2.3801,2.4353,2.3525,2.4353,21,49.98,1.1589,0.21,0.9489,TARGET,57.1,1.27,0.0184
2026-04-02,PLUG,Hydrogen,2026-04-02 19:40:00+00:00,2026-04-02 19:45:00+00:00,2.4427,2.4222,2.4222,2.4837,20,48.85,-0.4096,0.2,-0.6096,STOP,62.6,2.55,0.0137
2026-04-06,PLUG,Hydrogen,2026-04-06 15:40:00+00:00,2026-04-06 18:15:00+00:00,2.6094,2.6992,2.5645,2.6992,19,49.58,1.7056,0.19,1.5156,TARGET,66.7,1.54,0.0299
2026-04-06,PLUG,Hydrogen,2026-04-06 18:20:00+00:00,2026-04-06 19:35:00+00:00,2.7099,2.6757,2.6757,2.7783,18,48.78,-0.616,0.18,-0.796,STOP,71.3,4.53,0.0228
2026-04-08,PLUG,Hydrogen,2026-04-08 16:20:00+00:00,2026-04-08 18:25:00+00:00,2.67,2.6393,2.6393,2.7314,18,48.06,-0.553,0.18,-0.733,STOP,61.7,1.34,0.0205
2026-04-09,PLUG,Hydrogen,2026-04-09 15:30:00+00:00,2026-04-09 18:20:00+00:00,2.78,2.7388,2.7388,2.8624,17,47.26,-0.7,0.17,-0.87,STOP,56.4,1.26,0.0275
2026-04-13,PLUG,Hydrogen,2026-04-13 15:35:00+00:00,2026-04-13 15:45:00+00:00,2.8591,2.8205,2.8205,2.9362,17,48.6,-0.6555,0.17,-0.8255,STOP,64.9,2.51,0.0257
2026-04-14,PLUG,Hydrogen,2026-04-14 19:05:00+00:00,2026-04-14 19:55:00+00:00,2.945,2.935,2.9155,3.004,16,47.12,-0.16,0.16,-0.32,EOD,62.9,2.79,0.0197
2026-04-15,PLUG,Hydrogen,2026-04-15 18:10:00+00:00,2026-04-15 18:45:00+00:00,2.91,2.8834,2.8834,2.9631,17,49.47,-0.4514,0.17,-0.6214,STOP,63.7,1.91,0.0177
2026-04-15,PLUG,Hydrogen,2026-04-15 19:45:00+00:00,2026-04-15 19:55:00+00:00,2.915,2.925,2.893,2.959,17,49.55,0.17,0.17,-0.0,EOD,62.4,1.22,0.0147
2026-04-16,PLUG,Hydrogen,2026-04-16 18:20:00+00:00,2026-04-16 19:25:00+00:00,2.8405,2.8152,2.8152,2.8912,17,48.29,-0.4309,0.17,-0.6009,STOP,58.5,1.28,0.0169
2026-04-16,PLUG,Hydrogen,2026-04-16 19:35:00+00:00,2026-04-16 19:55:00+00:00,2.84,2.8501,2.8149,2.8901,17,48.28,0.1717,0.17,0.0017,EOD,54.7,1.29,0.0167
2026-04-20,PLUG,Hydrogen,2026-04-20 15:35:00+00:00,2026-04-20 16:55:00+00:00,2.885,2.972,2.8415,2.972,17,49.04,1.4787,0.17,1.3087,TARGET,65.0,1.9,0.029
2026-04-20,PLUG,Hydrogen,2026-04-20 17:00:00+00:00,2026-04-20 19:35:00+00:00,3.0307,3.1312,2.9804,3.1312,16,48.49,1.6087,0.16,1.4487,TARGET,76.8,1.52,0.0335
2026-04-22,PLUG,Hydrogen,2026-04-22 15:30:00+00:00,2026-04-22 16:40:00+00:00,3.15,3.1108,3.1108,3.2283,15,47.25,-0.5873,0.15,-0.7373,STOP,57.0,1.77,0.0261
2026-04-22,PLUG,Hydrogen,2026-04-22 18:05:00+00:00,2026-04-22 19:55:00+00:00,3.15,3.185,3.1218,3.2065,15,47.25,0.525,0.15,0.375,EOD,59.7,1.3,0.0188
2026-04-23,PLUG,Hydrogen,2026-04-23 19:40:00+00:00,2026-04-23 19:55:00+00:00,3.1595,3.2,3.131,3.2165,15,47.39,0.6075,0.15,0.4575,EOD,65.4,2.41,0.019
2026-04-24,PLUG,Hydrogen,2026-04-24 15:25:00+00:00,2026-04-24 16:40:00+00:00,3.2864,3.2273,3.2273,3.4046,15,49.3,-0.8863,0.15,-1.0363,STOP,75.8,1.81,0.0394
2026-04-27,PLUG,Hydrogen,2026-04-27 17:30:00+00:00,2026-04-27 19:00:00+00:00,3.0299,3.0817,3.004,3.0817,16,48.48,0.8282,0.16,0.6682,TARGET,66.0,2.41,0.0173
2026-04-27,PLUG,Hydrogen,2026-04-27 19:15:00+00:00,2026-04-27 19:35:00+00:00,3.0941,3.0626,3.0626,3.1572,16,49.51,-0.5046,0.16,-0.6646,STOP,72.8,2.01,0.021
2026-04-27,PLUG,Hydrogen,2026-04-27 19:40:00+00:00,2026-04-27 19:55:00+00:00,3.075,3.09,3.0402,3.1446,16,49.2,0.24,0.16,0.08,EOD,60.3,1.75,0.0232
2026-04-28,PLUG,Hydrogen,2026-04-28 16:35:00+00:00,2026-04-28 18:45:00+00:00,3.0201,3.025,2.9936,3.0732,16,48.32,0.0784,0.16,-0.0816,EOD,54.3,1.52,0.0177
2026-03-31,F,Auto,2026-03-31 15:35:00+00:00,2026-03-31 15:55:00+00:00,11.415,11.37,11.37,11.5051,4,45.66,-0.1801,0.04,-0.2201,STOP,42.4,1.26,0.03
